ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Spanish_Gloss
1_beeshive,"bees, hive",,,1,"abejas, panal"
2_slap,slap,,,2,abofetear
3_openeyes,open eyes,,,3,abrir ojos
4_maternalgrandmother,maternal grandmother,,,4,abuela materna
5_maternalgrandfather,maternal grandfather,,,5,abuelo materno
6_happenoccur,"happen, occur",,,6,acontecer
7_liedown,lie down,215,LIE DOWN,7,acostarse
8_adobe,adobe,901,ADOBE,8,adobe
9_sharp,sharp,1396,SHARP,9,afilado
10_becomeslack,become slack,,,10,aflojarse
11_crouch,crouch,296,CROUCH,11,agacharse
12_becomeusedupspent,"become used up, spent",,,12,agotar
13_becomeusedupspent,"become used up, spent",,,13,agotarse
14_sour,sour,1906,SOUR,14,agrio
15_water,water,948,WATER,15,agua
16_eagle,eagle,1905,EAGLE,16,águila
17_hawk,hawk,,,17,aguililla
18_wing,wing,1257,WING,18,ala
19_cotton,cotton,1850,COTTON,19,algodón
20_sunrise,sunrise,2296,SUNRISE,20,amanecer
21_bitter,bitter,887,BITTER,21,amargo
22_yellow,yellow,1424,YELLOW,22,amarillo
23_fastentie,"fasten, tie",1094,FASTEN,23,amarrar
24_domesticanimal,domestic animal,,,24,animal doméstico
25_fishhook,fishhook,1074,FISHHOOK,25,anzuelo
26_diedownfire,die down (fire),,,26,apagarse
27_learn,learn,504,LEARN,27,aprender
28_spider,spider,843,SPIDER,28,araña
29_bow,bow,994,BOW,29,arco
30_burn,burn,1428,BURNING,30,arder
31_sand,sand,671,SAND,31,arena
32_ripoffpull,"rip off, pull",,,32,arrancar
33_smallriverstream,"small river, stream",3311,FLOWING BODY OF WATER,33,arroyo
34_wrinkle,wrinkle,,,34,arrugarse
35_roast,roast,1962,ROAST (SOMETHING),35,asar
36_becomefilledup,become filled up,,,36,atascarse
37_buzzardturkeyvulture,"buzzard, turkey vulture",,,37,aura
38_wasp,wasp,1517,WASP,38,avispa
39_help,help,1897,HELP,39,ayudar
40_whip,whip,2630,WHIP,40,azotar
41_catfish,catfish,,,41,bagre
42_dance,dance,1879,DANCE,42,bailar
43_bathe,bathe,138,BATHE,43,bañarse
44_beard,beard,,,44,barbas
45_drink,drink,1401,DRINK,45,beber
46_white,white,1335,WHITE,46,blanco
47_whitepersonmestizo,"white person, mestizo",,,47,blanco de raza
48_mouth,mouth,674,MOUTH,48,boca
49_ball,ball,,,49,bola
50_embers,embers,,,50,brasa
51_armhand,"arm, hand",2121,ARM OR HAND,51,"brazo, mano"
